state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,France,GermanyTTO,GermanyVAS,Iran,Italy,Japan,Korea,Malaysia,Netherlands,New_Zealand,Poland,Portugal,Singapore,Slovenia,SpainTTO,SpainVAS,Sri_Lanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
11111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11112,0.931,0.841,0.798,0.745,0.801,0.826,0.808,0.875,0.818,0.684,0.783,0.682,0.91,0.999,0.757,0.821,0.905,0.785,0.907,0.852,0.805,0.7039,0.925,0.767,0.8499,0.779,0.914,0.799,0.804,0.9142,0.661,0.766,0.896,0.848,0.782,0.844,0.854
11113,0.505,0.504,0.498,0.386,0.756,0.609,0.582,0.734,0.519,0.593,0.514,0.646,0.622,0.611,0.433,0.714,0.787,0.736,0.742,0.731,0.37,0.3954,0.744,0.368,0.4311,0.686,0.541,0.536,0.654,0.7185,0.343,0.549,0.768,0.414,0.506,0.55,0.727
11121,0.883,0.807,0.828,0.764,0.787,0.844,0.798,0.869,0.824,0.697,0.779,0.731,0.888,0.887,0.902,0.844,0.902,0.768,0.913,0.879,0.843,0.7161,0.894,0.694,0.8538,0.761,0.887,0.79,0.791,0.9349,0.694,0.726,0.843,0.796,0.761,0.827,0.833
11122,0.831,0.716,0.731,0.661,0.737,0.781,0.698,0.783,0.756,0.606,0.69,0.571,0.798,0.887,0.737,0.746,0.85,0.705,0.87,0.798,0.719,0.6241,0.868,0.657,0.7037,0.668,0.825,0.739,0.747,0.8797,0.54,0.694,0.832,0.725,0.698,0.8,0.787
11123,0.444,0.583,0.43,0.302,0.692,0.564,0.472,0.642,0.457,0.515,0.421,0.535,0.51,0.499,0.422,0.639,0.732,0.656,0.705,0.677,0.284,0.3156,0.687,0.498,0.2849,0.575,0.452,0.476,0.597,0.6839,0.222,0.477,0.704,0.291,0.422,0.517,0.66
11131,0.431,0.463,0.446,0.424,0.683,0.591,0.537,0.703,0.49,0.619,0.48,0.689,0.561,0.361,0.432,0.77,0.666,0.654,0.749,0.69,0.366,0.4198,0.462,0.297,0.4804,0.65,0.424,0.519,0.548,0.8357,0.364,0.45,0.677,0.264,0.459,0.463,0.598
11132,0.419,0.576,0.349,0.321,0.633,0.528,0.437,0.617,0.422,0.528,0.39,0.529,0.471,0.361,0.353,0.672,0.614,0.591,0.706,0.609,0.242,0.3278,0.436,0.501,0.3303,0.557,0.362,0.468,0.504,0.7805,0.21,0.418,0.666,0.193,0.396,0.446,0.552
11133,0.281,0.372,0.234,0.218,0.588,0.311,0.265,0.498,0.123,0.437,0.351,0.493,0.357,0.296,0.202,0.541,0.496,0.542,0.591,0.604,0.041,0.2358,0.255,0.135,0.202,0.464,0.28,0.416,0.354,0.628,0.082,0.34,0.538,0.028,0.335,0.289,0.425
11211,0.901,0.782,0.842,0.817,0.754,0.817,0.782,0.887,0.838,0.711,0.846,0.795,0.844,0.999,0.815,0.834,0.915,0.804,0.899,0.88,0.897,0.7823,0.905,0.702,0.7445,0.818,0.905,0.795,0.777,0.8682,0.73,0.739,0.864,0.883,0.814,0.86,0.857
