,Argentina,Australia,Brazil,Canada,Chile,Denmark,France,Germany,Italy,Japan,Korea,Netherlands,Poland,Portugal,Spain,Taiwan,Thailand,Trinidad_and_Tobago,UK,USA,Zimbabwe
FullHealth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Constant,NA,-0.105,-0.149,-0.111,-0.092,-0.114,NA,-0.001,NA,-0.152,-0.05,-0.071,-0.049,NA,-0.024,-0.185,-0.202,-0.093,-0.081,NA,-0.1
N3,NA,NA,NA,NA,NA,NA,-0.174,-0.323,NA,NA,-0.05,-0.234,NA,NA,-0.291,-0.19,-0.139,NA,-0.269,NA,NA
MO2,-0.189,-0.068,-0.12,-0.046,-0.108,-0.053,-0.155,-0.099,-0.076,-0.075,-0.096,-0.036,-0.052,-0.30543,-0.106,-0.123,-0.121,-0.045,-0.069,-0.146016,-0.056
MO3,-0.272,-0.374,-0.363,-0.322,-0.448,-0.411,-0.372,-0.329,-0.518,-0.418,-0.418,-0.161,-0.331,-0.89017,-0.43,-0.272,-0.432,-0.412,-0.314,-0.557685,-0.204
SC2,-0.128,-0.087,-0.112,-0.071,-0.118,-0.063,-0.212,-0.087,-0.1,-0.054,-0.046,-0.082,-0.054,-0.35397,-0.134,-0.167,-0.121,-0.064,-0.104,-0.1753425,-0.092
SC3,-0.209,-0.267,-0.218,-0.224,-0.421,-0.192,-0.326,-0.174,-0.289,-0.102,-0.136,-0.152,-0.235,-0.79608,-0.309,-0.276,-0.242,-0.172,-0.214,-0.4711896,-0.231
UA2,-0.111,-0.053,-0.097,-0.072,-0.126,-0.048,-0.156,NA,-0.085,-0.044,-0.051,-0.032,-0.046,-0.29849,-0.071,-0.085,-0.059,-0.043,-0.036,-0.1397295,-0.043
UA3,-0.067,-0.139,-0.184,-0.105,-0.411,-0.144,-0.189,NA,-0.198,-0.133,-0.208,-0.057,-0.212,-0.75906,-0.195,-0.208,-0.118,-0.117,-0.094,-0.3742594,-0.135
PD2,-0.13,-0.068,-0.064,-0.045,-0.11,-0.062,-0.112,-0.112,-0.098,-0.08,-0.037,-0.086,-0.057,-0.30633,-0.089,-0.121,-0.072,-0.064,-0.123,-0.1728907,-0.067
PD3,-0.209,-0.449,-0.168,-0.298,-0.398,-0.396,-0.265,-0.315,-0.334,-0.194,-0.151,-0.329,-0.489,-0.70274,-0.261,-0.261,-0.209,-0.23,-0.386,-0.5371011,-0.302
AD2,-0.082,-0.097,-0.05,-0.063,-0.1,-0.068,-0.09,NA,-0.095,-0.063,-0.043,-0.124,-0.026,-0.23328,-0.062,-0.154,-0.032,-0.011,-0.071,-0.156223,-0.046
AD3,-0.135,-0.397,-0.095,-0.28,-0.353,-0.367,-0.204,-0.065,-0.213,-0.112,-0.158,-0.325,-0.207,-0.63208,-0.144,-0.282,-0.11,-0.139,-0.236,-0.4501876,-0.173
D1,,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,0.43663,NA,NA,NA,NA,NA,0.1395949,NA
I2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24028,NA,NA,NA,NA,NA,NA,NA
I2_sq,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0106868,NA
