state,Canada,China,England,Ethopia,France,Germany,Hong_Kong,Indonesia,Ireland,Japan,Korea,Malaysia,Netherlands,Poland,Portugal,Spain,Taiwan,Thailand,Uruguay,USA,Vietnam
11111,0.949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11112,0.911,0.951,0.922,0.9741,0.97954,0.97,0.92,0.921,0.92,0.86,0.871,0.928,0.883,0.982,0.964,0.919,0.936,0.942,0.978,0.943,0.9362
11113,0.874,0.882,0.896,0.9152,0.95317,0.918,0.86,0.866,0.798,0.827,0.858,0.905,0.808,0.971,0.915,0.872,0.817,0.904,0.944,0.877,0.8874
11114,0.708,0.785,0.715,0.7013,0.79995,0.756,0.707,0.773,0.465,0.765,0.724,0.77,0.597,0.892,0.788,0.73,0.66,0.767,0.883,0.701,0.8287
11115,0.671,0.742,0.711,0.5422,0.74197,0.644,0.652,0.695,0.354,0.742,0.689,0.7,0.532,0.768,0.716,0.652,0.579,0.705,0.81,0.679,0.7612
11121,0.904,0.942,0.937,0.9639,0.97802,0.943,0.924,0.914,0.932,0.898,0.862,0.919,0.887,0.97,0.959,0.922,0.913,0.944,0.97,0.94,0.9161
11122,0.867,0.893,0.859,0.938,0.95756,0.913,0.844,0.835,0.852,0.82,0.829,0.847,0.817,0.952,0.923,0.841,0.85,0.886,0.961,0.883,0.8523
11123,0.829,0.824,0.833,0.8791,0.93119,0.861,0.784,0.78,0.73,0.787,0.816,0.824,0.742,0.941,0.874,0.794,0.73,0.848,0.927,0.817,0.8035
11124,0.664,0.727,0.652,0.6652,0.77797,0.699,0.631,0.687,0.397,0.725,0.682,0.689,0.531,0.862,0.747,0.652,0.573,0.711,0.866,0.641,0.7448
11125,0.626,0.684,0.648,0.5061,0.71999,0.587,0.576,0.609,0.286,0.701,0.647,0.619,0.466,0.738,0.675,0.574,0.492,0.648,0.793,0.619,0.6773
11131,0.86,0.862,0.916,0.9484,0.95296,0.891,0.853,0.905,0.907,0.87,0.851,0.893,0.861,0.95,0.899,0.899,0.842,0.934,0.927,0.902,0.8479
11132,0.822,0.813,0.838,0.9225,0.9325,0.861,0.773,0.826,0.827,0.792,0.818,0.821,0.791,0.932,0.863,0.818,0.778,0.875,0.917,0.845,0.7841
11133,0.785,0.744,0.812,0.8636,0.90613,0.809,0.713,0.771,0.705,0.759,0.805,0.798,0.716,0.921,0.814,0.771,0.659,0.838,0.883,0.779,0.7353
11134,0.62,0.647,0.631,0.6497,0.75291,0.647,0.56,0.678,0.372,0.697,0.671,0.663,0.505,0.842,0.687,0.629,0.502,0.701,0.822,0.603,0.6766
