_Y3_1,_Y3_2,_Y3_3,_Y3_4,_Y3_5,_age5grp,_male,_U3UK,_EUUKcopula
1,1,1,1,1,18-34,1,1,.9815982275892559
1,1,1,1,2,18-34,1,.8480000000000001,.9009836967802272
1,1,1,1,3,18-34,1,.414,.7212822086475598
1,1,1,2,1,18-34,1,.796,.9061046041056011
1,1,1,2,2,18-34,1,.7250000000000001,.8265387409371783
1,1,1,2,3,18-34,1,.291,.6442164818655702
1,1,1,3,1,18-34,1,.264,.9235737460878311
1,1,1,3,2,18-34,1,.193,.8201831763188443
1,1,1,3,3,18-34,1,.028,.5935760313767751
1,1,2,1,1,18-34,1,.883,.9162644547103005
1,1,2,1,2,18-34,1,.8120000000000001,.8297616287115899
1,1,2,1,3,18-34,1,.378,.6443121068095339
1,1,2,2,1,18-34,1,.76,.8314813730478
1,1,2,2,2,18-34,1,.6890000000000001,.750303867299872
1,1,2,2,3,18-34,1,.255,.5754461946122491
1,1,2,3,1,18-34,1,.228,.7595646710278705
1,1,2,3,2,18-34,1,.157,.6521044522448908
1,1,2,3,3,18-34,1,-.008,.4251657780122875
1,1,3,1,1,18-34,1,.5560000000000001,.9515146831518409
1,1,3,1,2,18-34,1,.485,.8545733319196569
1,1,3,1,3,18-34,1,.3200000000000001,.6015359955048764
1,1,3,2,1,18-34,1,.4330000000000001,.8305495242554472
1,1,3,2,2,18-34,1,.362,.7176627351773836
1,1,3,2,3,18-34,1,.1970000000000001,.4696893551260974
1,1,3,3,1,18-34,1,.17,.4806799469034769
1,1,3,3,2,18-34,1,.099,.3652182197087461
1,1,3,3,3,18-34,1,-.0659999999999999,.1876107618191436
1,2,1,1,1,18-34,1,.8150000000000001,.9291343252097953
1,2,1,1,2,18-34,1,.7440000000000001,.8376334661501228
1,2,1,1,3,18-34,1,.3100000000000001,.6457234207087341
1,2,1,2,1,18-34,1,.6920000000000001,.8315461411283774
1,2,1,2,2,18-34,1,.6210000000000001,.7460540501936388
1,2,1,2,3,18-34,1,.1870000000000001,.5642033465749076
1,2,1,3,1,18-34,1,.16,.7183634778664824
1,2,1,3,2,18-34,1,.089,.5911647373015606
1,2,1,3,3,18-34,1,-.076,.3452762961177658
1,2,2,1,1,18-34,1,.779,.8272600994968141
1,2,2,1,2,18-34,1,.7080000000000001,.7446869158740005
1,2,2,1,3,18-34,1,.274,.5656090702715878
1,2,2,2,1,18-34,1,.656,.7642047651161918
1,2,2,2,2,18-34,1,.5850000000000001,.6808077273053395
1,2,2,2,3,18-34,1,.151,.49971824550412
1,2,2,3,1,18-34,1,.124,.5879094767395531
1,2,2,3,2,18-34,1,.053,.4840809776446278
1,2,2,3,3,18-34,1,-.112,.2755809726817138
1,2,3,1,1,18-34,1,.4520000000000001,.7294659065776865
1,2,3,1,2,18-34,1,.3810000000000001,.6006330775260896
1,2,3,1,3,18-34,1,.2160000000000001,.3811209940631629
1,2,3,2,1,18-34,1,.3290000000000001,.6247255237867933
1,2,3,2,2,18-34,1,.2580000000000001,.5143087789523032
1,2,3,2,3,18-34,1,.0930000000000001,.3118768538416068
1,2,3,3,1,18-34,1,.0660000000000001,.3582450316532417
1,2,3,3,2,18-34,1,-.0049999999999999,.2608294652836019
1,2,3,3,3,18-34,1,-.1699999999999999,.1107535739834529
1,3,1,1,1,18-34,1,.4360000000000001,.9636893554498973
1,3,1,1,2,18-34,1,.3650000000000001,.8752616820909718
1,3,1,1,3,18-34,1,.2000000000000001,.6404492570001922
1,3,1,2,1,18-34,1,.3130000000000001,.8583397336931287
1,3,1,2,2,18-34,1,.2420000000000001,.7480274007774612
1,3,1,2,3,18-34,1,.0770000000000001,.4798397873298911
1,3,1,3,1,18-34,1,.05,.4852273500095264
1,3,1,3,2,18-34,1,-.0209999999999999,.3427119863513156
1,3,1,3,3,18-34,1,-.1859999999999999,.1474351119889503
1,3,2,1,1,18-34,1,.4000000000000001,.8196883383044537
1,3,2,1,2,18-34,1,.3290000000000001,.697241303983308
1,3,2,1,3,18-34,1,.1640000000000001,.4408977867451375
1,3,2,2,1,18-34,1,.2770000000000001,.7011525738796284
1,3,2,2,2,18-34,1,.2060000000000001,.5901529341196339
1,3,2,2,3,18-34,1,.0410000000000001,.3607978672848275
1,3,2,3,1,18-34,1,.0140000000000001,.3757970641570569
1,3,2,3,2,18-34,1,-.0569999999999999,.274450902682209
1,3,2,3,3,18-34,1,-.2219999999999999,.1112699212095397
1,3,3,1,1,18-34,1,.3420000000000001,.5018241801447095
1,3,3,1,2,18-34,1,.2710000000000001,.3989861260005961
1,3,3,1,3,18-34,1,.1060000000000001,.2219900096512681
1,3,3,2,1,18-34,1,.2190000000000001,.4469391103548522
1,3,3,2,2,18-34,1,.1480000000000001,.3491112430378646
1,3,3,2,3,18-34,1,-.0169999999999999,.1968614920494134
1,3,3,3,1,18-34,1,-.0439999999999999,.2419557272501551
1,3,3,3,2,18-34,1,-.1149999999999999,.1518140432943972
1,3,3,3,3,18-34,1,-.2799999999999999,.001305232422444
2,1,1,1,1,18-34,1,.8500000000000001,.9195190480589062
2,1,1,1,2,18-34,1,.7790000000000001,.8300745088506636
2,1,1,1,3,18-34,1,.345,.6409114041968175
2,1,1,2,1,18-34,1,.7270000000000001,.8280750977050678
2,1,1,2,2,18-34,1,.6560000000000001,.7446753750227977
2,1,1,2,3,18-34,1,.222,.5655022859310744
2,1,1,3,1,18-34,1,.195,.7234130797774292
2,1,1,3,2,18-34,1,.124,.6015606233460034
2,1,1,3,3,18-34,1,-.041,.3491632815271153
2,1,2,1,1,18-34,1,.8140000000000001,.8268742540521367
2,1,2,1,2,18-34,1,.7430000000000001,.746037152555607
2,1,2,1,3,18-34,1,.3089999999999999,.5687696800570955
2,1,2,2,1,18-34,1,.6910000000000001,.7671266765280361
2,1,2,2,2,18-34,1,.6200000000000001,.6848773241904363
2,1,2,2,3,18-34,1,.1859999999999999,.5043939314718565
2,1,2,3,1,18-34,1,.1589999999999999,.5976750408788014
2,1,2,3,2,18-34,1,.0879999999999999,.4932075753529192
2,1,2,3,3,18-34,1,-.0770000000000001,.2790539105818718
2,1,3,1,1,18-34,1,.487,.7344268529683529
2,1,3,1,2,18-34,1,.416,.6064352129945523
2,1,3,1,3,18-34,1,.251,.368568969402637
2,1,3,2,1,18-34,1,.364,.6328503733594434
2,1,3,2,2,18-34,1,.293,.5207927479119323
2,1,3,2,3,18-34,1,.128,.304503155463498
2,1,3,3,1,18-34,1,.101,.3343830309407115
2,1,3,3,2,18-34,1,.03,.236947196211054
2,1,3,3,3,18-34,1,-.135,.0804447676051653
2,2,1,1,1,18-34,1,.7460000000000001,.8182008440402715
2,2,1,1,2,18-34,1,.6750000000000002,.7312866895032604
2,2,1,1,3,18-34,1,.241,.5410973065861061
2,2,1,2,1,18-34,1,.6230000000000001,.7486587133340196
2,2,1,2,2,18-34,1,.5520000000000002,.6608255390915199
2,2,1,2,3,18-34,1,.118,.4706393025996367
2,2,1,3,1,18-34,1,.091,.5209917690177915
2,2,1,3,2,18-34,1,.02,.4142250526782001
2,2,1,3,3,18-34,1,-.145,.2015327654008418
2,2,2,1,1,18-34,1,.7100000000000001,.7497823046424257
2,2,2,1,2,18-34,1,.6390000000000001,.6600308201493724
2,2,2,1,3,18-34,1,.205,.471764993010435
2,2,2,2,1,18-34,1,.5870000000000001,.677966558611119
2,2,2,2,2,18-34,1,.5160000000000001,.5865733856106418
2,2,2,2,3,18-34,1,.082,.4059638412558644
2,2,2,3,1,18-34,1,.055,.4655148836328749
2,2,2,3,2,18-34,1,-.016,.3678436491680124
2,2,2,3,3,18-34,1,-.181,.1601538048057327
2,2,3,1,1,18-34,1,.383,.5379659150714954
2,2,3,1,2,18-34,1,.312,.4325738515426272
2,2,3,1,3,18-34,1,.147,.2480474436072285
2,2,3,2,1,18-34,1,.26,.478664925809543
2,2,3,2,2,18-34,1,.189,.3756692130359182
2,2,3,2,3,18-34,1,.024,.1828046677145849
2,2,3,3,1,18-34,1,-.003,.2323955195009991
2,2,3,3,2,18-34,1,-.074,.1342231590866536
2,2,3,3,3,18-34,1,-.239,-.0122074289197516
2,3,1,1,1,18-34,1,.367,.7628021060639061
2,3,1,1,2,18-34,1,.296,.6173052198890066
2,3,1,1,3,18-34,1,.131,.3465404599485585
2,3,1,2,1,18-34,1,.244,.6299877761620356
2,3,1,2,2,18-34,1,.173,.5095648253048389
2,3,1,2,3,18-34,1,.008,.2796184685519615
2,3,1,3,1,18-34,1,-.019,.3015340195479647
2,3,1,3,2,18-34,1,-.09,.2046301663105311
2,3,1,3,3,18-34,1,-.255,.045352788345049
2,3,2,1,1,18-34,1,.331,.6098242758235248
2,3,2,1,2,18-34,1,.26,.4972809259820868
2,3,2,1,3,18-34,1,.095,.2801440611563731
2,3,2,2,1,18-34,1,.208,.5419750245058808
2,3,2,2,2,18-34,1,.137,.4364394183937067
2,3,2,2,3,18-34,1,-.028,.2219483143703914
2,3,2,3,1,18-34,1,-.055,.2448177341018979
2,3,2,3,2,18-34,1,-.126,.1450910152667877
2,3,2,3,3,18-34,1,-.291,-.0121817124238807
2,3,3,1,1,18-34,1,.273,.3841500377458637
2,3,3,1,2,18-34,1,.202,.2912232349922775
2,3,3,1,3,18-34,1,.037,.1353085218473409
2,3,3,2,1,18-34,1,.15,.320505076446734
2,3,3,2,2,18-34,1,.079,.2231641034031324
2,3,3,2,3,18-34,1,-.086,.0794214811690673
2,3,3,3,1,18-34,1,-.113,.1453626886601047
2,3,3,3,2,18-34,1,-.184,.0531174170800469
2,3,3,3,3,18-34,1,-.349,-.0968766228862482
3,1,1,1,1,18-34,1,.336,.9563954533220077
3,1,1,1,2,18-34,1,.265,.8659418151101149
3,1,1,1,3,18-34,1,.1,.6183250751825339
3,1,1,2,1,18-34,1,.213,.850801198286107
3,1,1,2,2,18-34,1,.142,.7472184254275042
3,1,1,2,3,18-34,1,-.023,.4849134389302464
3,1,1,3,1,18-34,1,-.05,.4302742930769571
3,1,1,3,2,18-34,1,-.121,.2941708487958971
3,1,1,3,3,18-34,1,-.286,.0909871014960962
3,1,2,1,1,18-34,1,.3,.8217777746004182
3,1,2,1,2,18-34,1,.229,.7104793497270707
3,1,2,1,3,18-34,1,.0640000000000001,.4468420422090378
3,1,2,2,1,18-34,1,.1770000000000001,.7215693740801604
3,1,2,2,2,18-34,1,.1060000000000001,.6140342388036872
3,1,2,2,3,18-34,1,-.0589999999999999,.368825373769305
3,1,2,3,1,18-34,1,-.086,.352093228572543
3,1,2,3,2,18-34,1,-.157,.2497998748384841
3,1,2,3,3,18-34,1,-.322,.0748974250881987
3,1,3,1,1,18-34,1,.242,.434596151983124
3,1,3,1,2,18-34,1,.171,.3353950392196672
3,1,3,1,3,18-34,1,.006,.156622701937847
3,1,3,2,1,18-34,1,.119,.4101492330886312
3,1,3,2,2,18-34,1,.048,.313946369627183
3,1,3,2,3,18-34,1,-.117,.1504005142686506
3,1,3,3,1,18-34,1,-.144,.1853316732740365
3,1,3,3,2,18-34,1,-.215,.0932817450449085
3,1,3,3,3,18-34,1,-.38,-.0493055089205448
3,2,1,1,1,18-34,1,.232,.7658311202665017
3,2,1,1,2,18-34,1,.161,.6228797712053071
3,2,1,1,3,18-34,1,-.0039999999999999,.3395030729015803
3,2,1,2,1,18-34,1,.109,.6388961807359391
3,2,1,2,2,18-34,1,.038,.515424288903948
